work_id,mp_name,district,implementing_agency,work_category,cost_estimate_lakhs,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,final_risk_score,risk_level,inspection_priority,risk_reasons
W10334,Yadavi Deshmukh,Nagpur,Zilla Panchayat,School Building Repair,3.08,22.68,0.0,0.0,0.0,22.68,9.07,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10097,Widisha Yohannan,Pune,Zilla Panchayat,Drinking Water Supply,16.36,22.69,0.0,0.0,0.0,22.69,9.07,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12090,Ria Ratta,Thane,Public Works Department,Public Toilet Complex,6.82,22.68,0.0,0.0,0.0,22.68,9.07,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10611,Sanya Swamy,Bengaluru Urban,District Rural Development Agency,Community Health Center,35.02,22.65,0.0,0.0,0.0,22.65,9.06,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12650,Vanya Suresh,Pune,Zilla Panchayat,Drainage System,12.31,22.63,0.0,0.0,0.0,22.63,9.05,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11029,Owen Bansal,Kolkata,State Housing Board,Road Construction,31.02,22.6,0.0,0.0,0.0,22.6,9.04,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12759,Oliver Sarma,Salem,Public Works Department,School Building Repair,14.01,22.6,0.0,0.0,0.0,22.6,9.04,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11487,Vanya Suresh,Dharwad,Public Works Department,Community Health Center,38.17,22.57,0.0,0.0,0.0,22.57,9.03,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12046,Deepa Gala,Nagpur,State Housing Board,Drainage System,16.04,22.55,0.0,0.0,0.0,22.55,9.02,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11577,Rayaan Mand,Nashik,Zilla Panchayat,School Building Repair,12.49,22.53,0.0,0.0,0.0,22.53,9.01,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11706,Azaan Gupta,Pune,Zilla Panchayat,Community Health Center,15.04,22.51,0.0,0.0,0.0,22.51,9.01,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10005,Hemang Bava,Madurai,District Rural Development Agency,Street Lighting,1.96,22.47,0.0,0.0,0.0,22.47,8.99,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11876,Odika Naik,Nashik,Municipal Corporation,Road Construction,28.96,22.48,0.0,0.0,0.0,22.48,8.99,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11163,Yutika Rana,Pune,Zilla Panchayat,School Building Repair,5.63,22.48,0.0,0.0,0.0,22.48,8.99,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10782,Vanya Suresh,Pune,Zilla Panchayat,School Building Repair,5.57,22.49,0.0,0.0,0.0,22.49,8.99,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10929,Yamini Chand,Coimbatore,Municipal Corporation,Street Lighting,5.37,22.42,0.0,0.0,0.0,22.42,8.97,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12087,Eesha Memon,Pune,Zilla Panchayat,School Building Repair,13.64,22.43,0.0,0.0,0.0,22.43,8.97,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12422,Meera Banerjee,Pune,District Rural Development Agency,Road Construction,15.55,22.4,0.0,0.0,0.0,22.4,8.96,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10299,Owen Bala,Thane,Public Works Department,Road Construction,30.76,22.35,0.0,0.0,0.0,22.35,8.94,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12079,Vanya Suresh,Kolkata,State Housing Board,Public Toilet Complex,2.12,22.32,0.0,0.0,0.0,22.32,8.93,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12882,Rayaan Mand,Pune,Zilla Panchayat,Drainage System,12.04,22.33,0.0,0.0,0.0,22.33,8.93,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12994,Krishna Pant,Varanasi,District Rural Development Agency,Street Lighting,2.12,22.33,0.0,0.0,0.0,22.33,8.93,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10408,Christopher Kadakia,Pune,Zilla Panchayat,Drinking Water Supply,15.38,22.3,0.0,0.0,0.0,22.3,8.92,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12487,Meera Banerjee,Darjeeling,State Housing Board,Community Health Center,29.29,22.31,0.0,0.0,0.0,22.31,8.92,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11972,Owen Bansal,Salem,Municipal Corporation,Community Health Center,31.87,22.28,0.0,0.0,0.0,22.28,8.91,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10293,Vanya Suresh,Thane,State Housing Board,Community Health Center,33.86,22.26,0.0,0.0,0.0,22.26,8.9,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12402,Tanish Iyer,Pune,Zilla Panchayat,School Building Repair,12.78,22.25,0.0,0.0,0.0,22.25,8.9,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12352,Victor Venkataraman,Nashik,Zilla Panchayat,School Building Repair,4.11,22.23,0.0,0.0,0.0,22.23,8.89,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10093,Tanish Iyer,Nashik,Municipal Corporation,Street Lighting,1.66,22.21,0.0,0.0,0.0,22.21,8.89,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11093,Vanya Suresh,Bengaluru Urban,Municipal Corporation,Road Construction,17.69,22.21,0.0,0.0,0.0,22.21,8.88,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12766,Deepa Gala,Darjeeling,District Rural Development Agency,Road Construction,30.49,22.19,0.0,0.0,0.0,22.19,8.87,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11759,Yutika Rana,Nagpur,Zilla Panchayat,Road Construction,30.64,22.14,0.0,0.0,0.0,22.14,8.86,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10330,Deepa Gala,Pune,Zilla Panchayat,Street Lighting,5.02,22.14,0.0,0.0,0.0,22.14,8.86,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12155,Krishna Pant,Chennai,Public Works Department,Public Toilet Complex,5.37,22.12,0.0,0.0,0.0,22.12,8.85,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11693,Hemang Bava,Pune,Zilla Panchayat,Public Toilet Complex,5.25,22.14,0.0,0.0,0.0,22.14,8.85,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11542,Lucky Prashad,Kanpur,Public Works Department,Road Construction,39.75,22.1,0.0,0.0,0.0,22.1,8.84,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12732,Christopher Kadakia,Pune,Public Works Department,Drinking Water Supply,19.07,22.11,0.0,0.0,0.0,22.11,8.84,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11042,Yadavi Deshmukh,Pune,Zilla Panchayat,Road Construction,32.74,22.11,0.0,0.0,0.0,22.11,8.84,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12670,Onveer Kata,Nagpur,Public Works Department,Road Construction,22.53,22.07,0.0,0.0,0.0,22.07,8.83,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11458,Mugdha Varty,Thane,Public Works Department,Community Health Center,33.66,22.06,0.0,0.0,0.0,22.06,8.83,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11954,Ekansh Sami,Kolkata,State Housing Board,Drainage System,11.84,22.05,0.0,0.0,0.0,22.05,8.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10511,Nicholas Gour,Mysuru,Municipal Corporation,Community Health Center,33.24,22.05,0.0,0.0,0.0,22.05,8.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10586,Ishwar Boase,Mysuru,Public Works Department,Drinking Water Supply,17.43,22.03,0.0,0.0,0.0,22.03,8.81,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10421,Ekansh Sami,Lucknow,Municipal Corporation,Road Construction,14.16,22.04,0.0,0.0,0.0,22.04,8.81,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12262,Sanya Swamy,Mysuru,Zilla Panchayat,Public Toilet Complex,5.84,22.01,0.0,0.0,0.0,22.01,8.8,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10601,Advaith Gole,Darjeeling,Zilla Panchayat,Road Construction,21.05,21.99,0.0,0.0,0.0,21.99,8.8,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12385,Ria Ratta,Asansol,Public Works Department,Road Construction,17.28,22.01,0.0,0.0,0.0,22.01,8.8,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12014,Deepa Gala,Nashik,Municipal Corporation,Drainage System,6.44,21.98,0.0,0.0,0.0,21.98,8.79,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10612,Owen Bala,Madurai,Public Works Department,Street Lighting,5.03,21.98,0.0,0.0,0.0,21.98,8.79,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11297,Sanya Swamy,Kanpur,Municipal Corporation,Road Construction,31.86,21.98,0.0,0.0,0.0,21.98,8.79,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11158,Vrinda Biswas,Lucknow,Public Works Department,School Building Repair,6.83,21.92,0.0,0.0,0.0,21.92,8.77,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10404,Mugdha Varty,Howrah,Public Works Department,Road Construction,28.69,21.92,0.0,0.0,0.0,21.92,8.77,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12274,Krishna Pant,Madurai,Zilla Panchayat,Community Health Center,32.35,21.94,0.0,0.0,0.0,21.94,8.77,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11810,Widisha Yohannan,Howrah,Municipal Corporation,Community Health Center,24.72,21.93,0.0,0.0,0.0,21.93,8.77,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12205,Christopher Kadakia,Bengaluru Urban,Public Works Department,Community Health Center,38.71,21.9,0.0,0.0,0.0,21.9,8.76,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12683,Hemang Bava,Asansol,District Rural Development Agency,Community Health Center,18.21,21.89,0.0,0.0,0.0,21.89,8.76,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12513,Christopher Kadakia,Coimbatore,State Housing Board,Community Health Center,30.21,21.87,0.0,0.0,0.0,21.87,8.75,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11119,Widisha Yohannan,Nashik,State Housing Board,School Building Repair,14.43,21.85,0.0,0.0,0.0,21.85,8.74,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10628,Pallavi Krish,Bengaluru Urban,State Housing Board,Community Health Center,25.68,21.84,0.0,0.0,0.0,21.84,8.74,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11499,Krishna Pant,Pune,Public Works Department,Community Health Center,17.73,21.82,0.0,0.0,0.0,21.82,8.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10650,Gaurav Chandra,Darjeeling,Municipal Corporation,Street Lighting,1.26,21.84,0.0,0.0,0.0,21.84,8.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11554,Gabriel Thaman,Kanpur,State Housing Board,Community Health Center,21.52,21.82,0.0,0.0,0.0,21.82,8.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12308,Vanya Suresh,Asansol,Public Works Department,Community Health Center,33.41,21.81,0.0,0.0,0.0,21.81,8.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12954,Yadavi Deshmukh,Darjeeling,Zilla Panchayat,Road Construction,20.25,21.82,0.0,0.0,0.0,21.82,8.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11860,Jagat Mangat,Pune,Zilla Panchayat,Public Toilet Complex,7.04,21.79,0.0,0.0,0.0,21.79,8.72,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10360,Yamini Chand,Dharwad,State Housing Board,Drainage System,17.91,21.81,0.0,0.0,0.0,21.81,8.72,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11531,Yutika Rana,Thane,Zilla Panchayat,Road Construction,24.0,21.81,0.0,0.0,0.0,21.81,8.72,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11711,Ishwar Boase,Pune,Zilla Panchayat,School Building Repair,5.88,21.77,0.0,0.0,0.0,21.77,8.71,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10219,Leena Butala,Nagpur,State Housing Board,Road Construction,28.44,21.77,0.0,0.0,0.0,21.77,8.71,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12809,Onveer Kata,Coimbatore,State Housing Board,Community Health Center,38.92,21.79,0.0,0.0,0.0,21.79,8.71,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10763,Leena Butala,Nashik,State Housing Board,Drinking Water Supply,16.95,21.76,0.0,0.0,0.0,21.76,8.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11836,Yadavi Deshmukh,Agra,Public Works Department,Road Construction,28.52,21.74,0.0,0.0,0.0,21.74,8.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12516,Harrison Kapur,Belagavi,State Housing Board,Drainage System,10.76,21.76,0.0,0.0,0.0,21.76,8.7,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11127,Varsha Morar,Pune,Zilla Panchayat,Community Health Center,11.31,21.72,0.0,0.0,0.0,21.72,8.69,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12514,Ishwar Boase,Agra,State Housing Board,Road Construction,23.98,21.69,0.0,0.0,0.0,21.69,8.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12601,Christopher Kadakia,Bengaluru Urban,State Housing Board,Road Construction,35.09,21.7,0.0,0.0,0.0,21.7,8.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12588,Varsha Morar,Dharwad,State Housing Board,Community Health Center,42.239066070660776,21.7,0.0,0.0,0.0,21.7,8.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10719,Rayaan Mand,Pune,Zilla Panchayat,Public Toilet Complex,5.28,21.7,0.0,0.0,0.0,21.7,8.68,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11535,Yadavi Deshmukh,Kolkata,District Rural Development Agency,Public Toilet Complex,2.58,21.67,0.0,0.0,0.0,21.67,8.67,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11075,Yug Choudhry,Chennai,District Rural Development Agency,Drinking Water Supply,18.77,21.64,0.0,0.0,0.0,21.64,8.66,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10916,Hemang Bava,Pune,Public Works Department,Public Toilet Complex,6.77,21.64,0.0,0.0,0.0,21.64,8.66,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11261,Yug Choudhry,Kolkata,Municipal Corporation,Public Toilet Complex,2.27,21.63,0.0,0.0,0.0,21.63,8.65,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11886,Christopher Kadakia,Thane,District Rural Development Agency,Community Health Center,34.63,21.63,0.0,0.0,0.0,21.63,8.65,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12026,Vrinda Biswas,Bengaluru Urban,State Housing Board,Street Lighting,5.21,21.6,0.0,0.0,0.0,21.6,8.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11025,Onveer Kata,Nashik,Public Works Department,Road Construction,29.03,21.59,0.0,0.0,0.0,21.59,8.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12667,Rayaan Mand,Coimbatore,State Housing Board,Drinking Water Supply,12.33,21.6,0.0,0.0,0.0,21.6,8.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10324,Vrinda Biswas,Pune,Zilla Panchayat,School Building Repair,4.03,21.57,0.0,0.0,0.0,21.57,8.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12806,Harrison Kapur,Varanasi,Public Works Department,Community Health Center,28.39,21.57,0.0,0.0,0.0,21.57,8.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11091,Ronith Zachariah,Lucknow,State Housing Board,School Building Repair,7.71,21.59,0.0,0.0,0.0,21.59,8.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12698,Tanish Iyer,Varanasi,Public Works Department,Road Construction,37.02,21.57,0.0,0.0,0.0,21.57,8.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10112,Ishwar Boase,Salem,Public Works Department,Road Construction,25.29,21.57,0.0,0.0,0.0,21.57,8.63,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10498,Oliver Sarma,Kanpur,District Rural Development Agency,Street Lighting,1.08,21.55,0.0,0.0,0.0,21.55,8.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10049,Tanish Iyer,Darjeeling,Public Works Department,Road Construction,33.64,21.55,0.0,0.0,0.0,21.55,8.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11864,Yug Choudhry,Nagpur,District Rural Development Agency,Road Construction,34.78,21.55,0.0,0.0,0.0,21.55,8.62,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10804,Harrison Kapur,Darjeeling,Municipal Corporation,Community Health Center,45.71,21.54,0.0,0.0,0.0,21.54,8.61,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12981,Owen Bala,Thane,District Rural Development Agency,Road Construction,23.52,21.52,0.0,0.0,0.0,21.52,8.61,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10751,Oliver Sarma,Lucknow,District Rural Development Agency,Community Health Center,27.52,21.54,0.0,0.0,0.0,21.54,8.61,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11530,Jagat Mangat,Darjeeling,Zilla Panchayat,Community Health Center,31.93,21.5,0.0,0.0,0.0,21.5,8.6,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11949,Sanya Swamy,Pune,Zilla Panchayat,Drinking Water Supply,13.36,21.51,0.0,0.0,0.0,21.51,8.6,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10684,Krishna Pant,Howrah,State Housing Board,Community Health Center,19.75,21.46,0.0,0.0,0.0,21.46,8.59,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12378,Mugdha Varty,Kanpur,State Housing Board,Road Construction,23.58,21.49,0.0,0.0,0.0,21.49,8.59,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12388,Widisha Yohannan,Bengaluru Urban,Public Works Department,Street Lighting,1.44,21.46,0.0,0.0,0.0,21.46,8.58,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12738,Victor Venkataraman,Kanpur,State Housing Board,Public Toilet Complex,2.17,21.46,0.0,0.0,0.0,21.46,8.58,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11700,Gabriel Thaman,Mysuru,District Rural Development Agency,Drinking Water Supply,9.28,21.46,0.0,0.0,0.0,21.46,8.58,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12231,Widisha Yohannan,Bengaluru Urban,State Housing Board,Street Lighting,2.63,21.43,0.0,0.0,0.0,21.43,8.57,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10831,Deepa Gala,Asansol,State Housing Board,School Building Repair,11.57,21.42,0.0,0.0,0.0,21.42,8.57,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11588,Tanish Iyer,Salem,Zilla Panchayat,Drainage System,12.51,21.41,0.0,0.0,0.0,21.41,8.56,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12397,Hemang Bava,Nashik,Public Works Department,Drinking Water Supply,13.2,21.37,0.0,0.0,0.0,21.37,8.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10120,Leena Butala,Varanasi,Public Works Department,Road Construction,29.16,21.37,0.0,0.0,0.0,21.37,8.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11910,Owen Bala,Nagpur,Public Works Department,Drainage System,8.9,21.39,0.0,0.0,0.0,21.39,8.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11825,Lucky Prashad,Howrah,Zilla Panchayat,Road Construction,30.01,21.38,0.0,0.0,0.0,21.38,8.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10047,Oliver Sarma,Nashik,District Rural Development Agency,Community Health Center,31.92,21.34,0.0,0.0,0.0,21.34,8.54,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10381,Widisha Yohannan,Coimbatore,Municipal Corporation,Road Construction,31.1,21.35,0.0,0.0,0.0,21.35,8.54,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11777,Lucky Prashad,Pune,Public Works Department,Street Lighting,1.9,21.36,0.0,0.0,0.0,21.36,8.54,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12093,Vrinda Biswas,Kanpur,State Housing Board,Road Construction,27.65,21.33,0.0,0.0,0.0,21.33,8.53,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12579,Meera Banerjee,Darjeeling,Municipal Corporation,Street Lighting,1.01,21.32,0.0,0.0,0.0,21.32,8.53,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12431,Christopher Kadakia,Kanpur,Zilla Panchayat,Road Construction,17.53,21.31,0.0,0.0,0.0,21.31,8.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10767,Advaith Gole,Varanasi,Zilla Panchayat,Street Lighting,1.49,21.31,0.0,0.0,0.0,21.31,8.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10308,Gaurav Chandra,Chennai,Zilla Panchayat,Road Construction,8.49,21.29,0.0,0.0,0.0,21.29,8.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12983,Hemang Bava,Madurai,State Housing Board,Community Health Center,42.91,21.28,0.0,0.0,0.0,21.28,8.51,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11745,Oliver Sarma,Kolkata,State Housing Board,Public Toilet Complex,4.52,21.27,0.0,0.0,0.0,21.27,8.51,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11219,Owen Bala,Kolkata,Municipal Corporation,Street Lighting,3.35,21.23,0.0,0.0,0.0,21.23,8.49,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10263,Azaan Gupta,Mysuru,Zilla Panchayat,Street Lighting,1.72,21.23,0.0,0.0,0.0,21.23,8.49,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12540,Owen Bansal,Madurai,District Rural Development Agency,Drainage System,10.9,21.19,0.0,0.0,0.0,21.19,8.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11100,Victor Venkataraman,Madurai,Zilla Panchayat,Drinking Water Supply,13.98,21.21,0.0,0.0,0.0,21.21,8.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12677,Ronith Zachariah,Dharwad,State Housing Board,Street Lighting,3.51,21.2,0.0,0.0,0.0,21.2,8.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11116,Rayaan Mand,Pune,Zilla Panchayat,Public Toilet Complex,6.01,21.2,0.0,0.0,0.0,21.2,8.48,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12793,Onveer Kata,Howrah,State Housing Board,Drinking Water Supply,20.0,21.17,0.0,0.0,0.0,21.17,8.47,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11019,Meera Banerjee,Nashik,State Housing Board,Street Lighting,4.29,21.19,0.0,0.0,0.0,21.19,8.47,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10131,Yug Choudhry,Madurai,Zilla Panchayat,Drinking Water Supply,19.26,21.15,0.0,0.0,0.0,21.15,8.46,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10486,Mugdha Varty,Thane,Municipal Corporation,Drainage System,14.53,21.16,0.0,0.0,0.0,21.16,8.46,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11208,Yamini Chand,Mysuru,District Rural Development Agency,School Building Repair,4.16,21.13,0.0,0.0,0.0,21.13,8.45,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10296,Sanya Swamy,Agra,State Housing Board,Community Health Center,16.69,21.13,0.0,0.0,0.0,21.13,8.45,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11763,Victor Venkataraman,Lucknow,State Housing Board,Road Construction,28.83,21.14,0.0,0.0,0.0,21.14,8.45,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11831,Lucky Prashad,Agra,Public Works Department,Road Construction,27.47,21.11,0.0,0.0,0.0,21.11,8.44,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11581,Jagat Mangat,Asansol,Zilla Panchayat,Drinking Water Supply,6.27,21.07,0.0,0.0,0.0,21.07,8.43,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10947,Rayaan Mand,Nashik,Zilla Panchayat,Road Construction,23.71,21.07,0.0,0.0,0.0,21.07,8.43,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12354,Leena Butala,Thane,Public Works Department,Street Lighting,1.11,21.08,0.0,0.0,0.0,21.08,8.43,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10250,Advaith Gole,Salem,Municipal Corporation,Community Health Center,31.35,21.06,0.0,0.0,0.0,21.06,8.42,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12866,Meera Banerjee,Kolkata,District Rural Development Agency,School Building Repair,3.5,21.04,0.0,0.0,0.0,21.04,8.42,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11283,Bachittar Choudhry,Salem,District Rural Development Agency,Public Toilet Complex,13.640865566559969,21.04,0.0,0.0,0.0,21.04,8.42,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10240,Harrison Kapur,Kolkata,District Rural Development Agency,Community Health Center,33.91,21.06,0.0,0.0,0.0,21.06,8.42,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10277,Harrison Kapur,Howrah,Public Works Department,Street Lighting,5.99,21.01,0.0,0.0,0.0,21.01,8.4,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12900,Meera Banerjee,Thane,Public Works Department,Road Construction,19.02,20.99,0.0,0.0,0.0,20.99,8.4,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12074,Eesha Memon,Chennai,District Rural Development Agency,School Building Repair,11.0,21.01,0.0,0.0,0.0,21.01,8.4,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10291,Eesha Memon,Asansol,Municipal Corporation,Street Lighting,1.57,20.98,0.0,0.0,0.0,20.98,8.39,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10060,Gaurav Chandra,Kolkata,District Rural Development Agency,Community Health Center,33.68,20.98,0.0,0.0,0.0,20.98,8.39,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12086,Owen Bala,Lucknow,State Housing Board,Drinking Water Supply,7.91,20.96,0.0,0.0,0.0,20.96,8.39,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11705,Vrinda Biswas,Nagpur,Public Works Department,Community Health Center,15.95,20.97,0.0,0.0,0.0,20.97,8.39,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11295,Nicholas Gour,Varanasi,Municipal Corporation,Community Health Center,32.53,20.97,0.0,0.0,0.0,20.97,8.39,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12708,Harrison Kapur,Salem,District Rural Development Agency,Community Health Center,37.96,20.95,0.0,0.0,0.0,20.95,8.38,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11708,Odika Naik,Coimbatore,District Rural Development Agency,Community Health Center,17.66,20.94,0.0,0.0,0.0,20.94,8.38,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11139,Ria Ratta,Chennai,State Housing Board,School Building Repair,10.27,20.94,0.0,0.0,0.0,20.94,8.38,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12884,Krishna Pant,Agra,Zilla Panchayat,Road Construction,31.51,20.89,0.0,0.0,0.0,20.89,8.36,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10537,Yadavi Deshmukh,Pune,Zilla Panchayat,Community Health Center,18.69,20.89,0.0,0.0,0.0,20.89,8.36,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11652,Sanya Swamy,Chennai,Public Works Department,Street Lighting,3.68,20.87,0.0,0.0,0.0,20.87,8.35,LOW,NORMAL,No major anomaly detected by the current risk layers.
