state,district,constituency,mp_name,work_id,work_name,work_category,implementing_agency,sanction_amount,expenditure,physical_progress,start_date,expected_completion_date,actual_completion_date,contractor,latitude,longitude,status,existing_rule_score,data_source,data_label,fund_utilization_pct,progress_expenditure_gap,progress_expenditure_mismatch,cost_overrun_amount,cost_overrun_pct,cost_overrun_flag,planned_duration_days,actual_duration_days,delay_days,timeline_delay_flag,high_fund_utilization,record_id,rule_risk_score,rule_risk_level,rule_reasons,ml_anomaly,ml_anomaly_score,ml_anomaly_status,ml_model,ml_risk_score,hybrid_risk_score,hybrid_risk_level,hybrid_risk_reasons,inspection_priority
,Pune,,Rayaan Mand,W12882,,Drainage System,Zilla Panchayat,12.04,,,,,,,,,Completed,22.333884046653097,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12882,22.33,LOW,No rule-based risk condition triggered,False,-0.0498,Normal,Isolation Forest,2.98,14.59,LOW,No significant risk indicator detected,LOW
,Varanasi,,Krishna Pant,W12994,,Street Lighting,District Rural Development Agency,2.12,,,,,,,,,Ongoing,22.32585711535321,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12994,22.33,LOW,No rule-based risk condition triggered,False,-0.0273,Normal,Isolation Forest,64.32,39.13,LOW,No significant risk indicator detected,LOW
,Kolkata,,Vanya Suresh,W12079,,Public Toilet Complex,State Housing Board,2.12,,,,,,,,,Completed,22.320862146155893,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12079,22.32,LOW,No rule-based risk condition triggered,False,-0.0195,Normal,Isolation Forest,81.5,45.99,MEDIUM,No significant risk indicator detected,MEDIUM
,Darjeeling,,Meera Banerjee,W12487,,Community Health Center,State Housing Board,29.29,,,,,,,,,Ongoing,22.31177024230009,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12487,22.31,LOW,No rule-based risk condition triggered,False,-0.019,Normal,Isolation Forest,82.35,46.33,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Christopher Kadakia,W10408,,Drinking Water Supply,Zilla Panchayat,15.38,,,,,,,,,Completed,22.30410665162737,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10408,22.3,LOW,No rule-based risk condition triggered,False,-0.0407,Normal,Isolation Forest,14.47,19.17,LOW,No significant risk indicator detected,LOW
,Salem,,Owen Bansal,W11972,,Community Health Center,Municipal Corporation,31.87,,,,,,,,,Ongoing,22.276590336494543,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11972,22.28,LOW,No rule-based risk condition triggered,False,-0.0066,Normal,Isolation Forest,92.73,50.46,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Vanya Suresh,W10293,,Community Health Center,State Housing Board,33.86,,,,,,,,,Ongoing,22.256088321512586,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10293,22.26,LOW,No rule-based risk condition triggered,False,-0.0098,Normal,Isolation Forest,91.05,49.78,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Tanish Iyer,W12402,,School Building Repair,Zilla Panchayat,12.78,,,,,,,,,Ongoing,22.251620130937635,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12402,22.25,LOW,No rule-based risk condition triggered,False,-0.0339,Normal,Isolation Forest,37.15,28.21,LOW,No significant risk indicator detected,LOW
,Nashik,,Victor Venkataraman,W12352,,School Building Repair,Zilla Panchayat,4.11,,,,,,,,,Ongoing,22.23233719595983,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12352,22.23,LOW,No rule-based risk condition triggered,False,-0.0385,Normal,Isolation Forest,20.82,21.67,LOW,No significant risk indicator detected,LOW
,Nashik,,Tanish Iyer,W10093,,Street Lighting,Municipal Corporation,1.66,,,,,,,,,Completed,22.214028792599024,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10093,22.21,LOW,No rule-based risk condition triggered,False,-0.0104,Normal,Isolation Forest,90.62,49.57,MEDIUM,No significant risk indicator detected,MEDIUM
,Bengaluru Urban,,Vanya Suresh,W11093,,Road Construction,Municipal Corporation,17.69,,,,,,,,,Ongoing,22.21142832,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11093,22.21,LOW,No rule-based risk condition triggered,False,-0.0104,Normal,Isolation Forest,90.62,49.57,MEDIUM,No significant risk indicator detected,MEDIUM
,Darjeeling,,Deepa Gala,W12766,,Road Construction,District Rural Development Agency,30.49,,,,,,,,,Ongoing,22.185176795321222,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12766,22.19,LOW,No rule-based risk condition triggered,True,0.0031,Anomaly,Isolation Forest,95.68,51.59,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Nagpur,,Yutika Rana,W11759,,Road Construction,Zilla Panchayat,30.64,,,,,,,,,Ongoing,22.13868577297558,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11759,22.14,LOW,No rule-based risk condition triggered,False,-0.0338,Normal,Isolation Forest,37.63,28.34,LOW,No significant risk indicator detected,LOW
,Pune,,Deepa Gala,W10330,,Street Lighting,Zilla Panchayat,5.02,,,,,,,,,Ongoing,22.138566349641422,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10330,22.14,LOW,No rule-based risk condition triggered,False,-0.0454,Normal,Isolation Forest,6.58,15.92,LOW,No significant risk indicator detected,LOW
,Pune,,Hemang Bava,W11693,,Public Toilet Complex,Zilla Panchayat,5.25,,,,,,,,,Ongoing,22.136452423411814,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11693,22.14,LOW,No rule-based risk condition triggered,False,-0.0417,Normal,Isolation Forest,11.27,17.79,LOW,No significant risk indicator detected,LOW
,Chennai,,Krishna Pant,W12155,,Public Toilet Complex,Public Works Department,5.37,,,,,,,,,Completed,22.12358019682333,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12155,22.12,LOW,No rule-based risk condition triggered,False,-0.0428,Normal,Isolation Forest,9.55,17.09,LOW,No significant risk indicator detected,LOW
,Pune,,Christopher Kadakia,W12732,,Drinking Water Supply,Public Works Department,19.07,,,,,,,,,Completed,22.11114670591988,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12732,22.11,LOW,No rule-based risk condition triggered,False,-0.0171,Normal,Isolation Forest,85.0,47.27,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Yadavi Deshmukh,W11042,,Road Construction,Zilla Panchayat,32.74,,,,,,,,,Ongoing,22.10753131446429,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11042,22.11,LOW,No rule-based risk condition triggered,False,-0.0281,Normal,Isolation Forest,61.17,37.73,LOW,No significant risk indicator detected,LOW
,Kanpur,,Lucky Prashad,W11542,,Road Construction,Public Works Department,39.75,,,,,,,,,Completed,22.09674812887801,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11542,22.1,LOW,No rule-based risk condition triggered,True,0.005,Anomaly,Isolation Forest,96.3,51.78,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Nagpur,,Onveer Kata,W12670,,Road Construction,Public Works Department,22.53,,,,,,,,,Completed,22.07167724,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12670,22.07,LOW,No rule-based risk condition triggered,False,-0.033,Normal,Isolation Forest,41.18,29.71,LOW,No significant risk indicator detected,LOW
,Thane,,Mugdha Varty,W11458,,Community Health Center,Public Works Department,33.66,,,,,,,,,Ongoing,22.064272345511323,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11458,22.06,LOW,No rule-based risk condition triggered,False,-0.0254,Normal,Isolation Forest,69.65,41.1,MEDIUM,No significant risk indicator detected,MEDIUM
,Mysuru,,Nicholas Gour,W10511,,Community Health Center,Municipal Corporation,33.24,,,,,,,,,Ongoing,22.054723019286502,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10511,22.05,LOW,No rule-based risk condition triggered,False,-0.0023,Normal,Isolation Forest,94.05,50.85,MEDIUM,No significant risk indicator detected,MEDIUM
,Kolkata,,Ekansh Sami,W11954,,Drainage System,State Housing Board,11.84,,,,,,,,,Completed,22.04953259528227,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11954,22.05,LOW,No rule-based risk condition triggered,False,-0.0438,Normal,Isolation Forest,8.13,16.48,LOW,No significant risk indicator detected,LOW
,Lucknow,,Ekansh Sami,W10421,,Road Construction,Municipal Corporation,14.16,,,,,,,,,Ongoing,22.03522875336048,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10421,22.04,LOW,No rule-based risk condition triggered,False,-0.0147,Normal,Isolation Forest,87.18,48.1,MEDIUM,No significant risk indicator detected,MEDIUM
,Mysuru,,Ishwar Boase,W10586,,Drinking Water Supply,Public Works Department,17.43,,,,,,,,,Ongoing,22.025636640930017,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10586,22.03,LOW,No rule-based risk condition triggered,False,-0.0246,Normal,Isolation Forest,72.25,42.12,MEDIUM,No significant risk indicator detected,MEDIUM
,Mysuru,,Sanya Swamy,W12262,,Public Toilet Complex,Zilla Panchayat,5.84,,,,,,,,,Ongoing,22.00783151356388,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12262,22.01,LOW,No rule-based risk condition triggered,False,-0.0405,Normal,Isolation Forest,15.08,19.24,LOW,No significant risk indicator detected,LOW
,Asansol,,Ria Ratta,W12385,,Road Construction,Public Works Department,17.28,,,,,,,,,Ongoing,22.00702518,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12385,22.01,LOW,No rule-based risk condition triggered,False,-0.0412,Normal,Isolation Forest,12.82,18.33,LOW,No significant risk indicator detected,LOW
,Darjeeling,,Advaith Gole,W10601,,Road Construction,Zilla Panchayat,21.05,,,,,,,,,Completed,21.98884460883076,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10601,21.99,LOW,No rule-based risk condition triggered,False,-0.0411,Normal,Isolation Forest,13.02,18.4,LOW,No significant risk indicator detected,LOW
,Madurai,,Owen Bala,W10612,,Street Lighting,Public Works Department,5.03,,,,,,,,,Ongoing,21.98391825537908,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10612,21.98,LOW,No rule-based risk condition triggered,False,-0.0357,Normal,Isolation Forest,29.8,25.11,LOW,No significant risk indicator detected,LOW
,Nashik,,Deepa Gala,W12014,,Drainage System,Municipal Corporation,6.44,,,,,,,,,Completed,21.97607023,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12014,21.98,LOW,No rule-based risk condition triggered,False,-0.0319,Normal,Isolation Forest,46.1,31.63,LOW,No significant risk indicator detected,LOW
,Kanpur,,Sanya Swamy,W11297,,Road Construction,Municipal Corporation,31.86,,,,,,,,,Ongoing,21.975063242558143,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11297,21.98,LOW,No rule-based risk condition triggered,True,0.004,Anomaly,Isolation Forest,95.95,51.57,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Madurai,,Krishna Pant,W12274,,Community Health Center,Zilla Panchayat,32.35,,,,,,,,,Ongoing,21.936591290947327,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12274,21.94,LOW,No rule-based risk condition triggered,False,-0.0139,Normal,Isolation Forest,88.07,48.39,MEDIUM,No significant risk indicator detected,MEDIUM
,Howrah,,Widisha Yohannan,W11810,,Community Health Center,Municipal Corporation,24.72,,,,,,,,,Completed,21.931745591433213,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11810,21.93,LOW,No rule-based risk condition triggered,False,-0.0211,Normal,Isolation Forest,78.95,44.74,MEDIUM,No significant risk indicator detected,MEDIUM
,Lucknow,,Vrinda Biswas,W11158,,School Building Repair,Public Works Department,6.83,,,,,,,,,Completed,21.92249301703189,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11158,21.92,LOW,No rule-based risk condition triggered,False,-0.041,Normal,Isolation Forest,13.22,18.44,LOW,No significant risk indicator detected,LOW
,Howrah,,Mugdha Varty,W10404,,Road Construction,Public Works Department,28.69,,,,,,,,,Ongoing,21.917582435013536,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10404,21.92,LOW,No rule-based risk condition triggered,False,-0.0261,Normal,Isolation Forest,67.72,40.24,MEDIUM,No significant risk indicator detected,MEDIUM
,Bengaluru Urban,,Christopher Kadakia,W12205,,Community Health Center,Public Works Department,38.71,,,,,,,,,Completed,21.900017319836135,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12205,21.9,LOW,No rule-based risk condition triggered,False,-0.0085,Normal,Isolation Forest,91.8,49.86,MEDIUM,No significant risk indicator detected,MEDIUM
,Asansol,,Hemang Bava,W12683,,Community Health Center,District Rural Development Agency,18.21,,,,,,,,,Completed,21.88823768635015,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12683,21.89,LOW,No rule-based risk condition triggered,False,-0.0372,Normal,Isolation Forest,24.37,22.88,LOW,No significant risk indicator detected,LOW
,Coimbatore,,Christopher Kadakia,W12513,,Community Health Center,State Housing Board,30.21,,,,,,,,,Ongoing,21.867636484016646,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12513,21.87,LOW,No rule-based risk condition triggered,False,-0.0174,Normal,Isolation Forest,84.7,47.0,MEDIUM,No significant risk indicator detected,MEDIUM
,Nashik,,Widisha Yohannan,W11119,,School Building Repair,State Housing Board,14.43,,,,,,,,,Ongoing,21.847057777218847,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11119,21.85,LOW,No rule-based risk condition triggered,False,-0.022,Normal,Isolation Forest,76.8,43.83,MEDIUM,No significant risk indicator detected,MEDIUM
,Bengaluru Urban,,Pallavi Krish,W10628,,Community Health Center,State Housing Board,25.68,,,,,,,,,Completed,21.841134122923872,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10628,21.84,LOW,No rule-based risk condition triggered,False,-0.0219,Normal,Isolation Forest,77.08,43.94,MEDIUM,No significant risk indicator detected,MEDIUM
,Darjeeling,,Gaurav Chandra,W10650,,Street Lighting,Municipal Corporation,1.26,,,,,,,,,Completed,21.8364527743758,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10650,21.84,LOW,No rule-based risk condition triggered,False,-0.0066,Normal,Isolation Forest,92.73,50.2,MEDIUM,No significant risk indicator detected,MEDIUM
,Kanpur,,Gabriel Thaman,W11554,,Community Health Center,State Housing Board,21.52,,,,,,,,,Ongoing,21.82473546623799,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11554,21.82,LOW,No rule-based risk condition triggered,False,-0.0273,Normal,Isolation Forest,64.32,38.82,LOW,No significant risk indicator detected,LOW
,Darjeeling,,Yadavi Deshmukh,W12954,,Road Construction,Zilla Panchayat,20.25,,,,,,,,,Ongoing,21.82427485359534,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12954,21.82,LOW,No rule-based risk condition triggered,False,-0.0472,Normal,Isolation Forest,4.67,14.96,LOW,No significant risk indicator detected,LOW
,Pune,,Krishna Pant,W11499,,Community Health Center,Public Works Department,17.73,,,,,,,,,Completed,21.817879457964217,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11499,21.82,LOW,No rule-based risk condition triggered,False,-0.0289,Normal,Isolation Forest,58.82,36.62,LOW,No significant risk indicator detected,LOW
,Asansol,,Vanya Suresh,W12308,,Community Health Center,Public Works Department,33.41,,,,,,,,,Ongoing,21.81384389170131,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12308,21.81,LOW,No rule-based risk condition triggered,False,-0.0256,Normal,Isolation Forest,69.17,40.75,MEDIUM,No significant risk indicator detected,MEDIUM
,Dharwad,,Yamini Chand,W10360,,Drainage System,State Housing Board,17.91,,,,,,,,,Ongoing,21.810587327276156,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10360,21.81,LOW,No rule-based risk condition triggered,False,-0.0237,Normal,Isolation Forest,74.17,42.75,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Yutika Rana,W11531,,Road Construction,Zilla Panchayat,24.0,,,,,,,,,Completed,21.808430977361827,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11531,21.81,LOW,No rule-based risk condition triggered,False,-0.0369,Normal,Isolation Forest,25.1,23.13,LOW,No significant risk indicator detected,LOW
,Pune,,Jagat Mangat,W11860,,Public Toilet Complex,Zilla Panchayat,7.04,,,,,,,,,Ongoing,21.78804168661541,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11860,21.79,LOW,No rule-based risk condition triggered,False,-0.036,Normal,Isolation Forest,28.68,24.55,LOW,No significant risk indicator detected,LOW
,Coimbatore,,Onveer Kata,W12809,,Community Health Center,State Housing Board,38.92,,,,,,,,,Completed,21.785429601289195,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12809,21.79,LOW,No rule-based risk condition triggered,True,0.0017,Anomaly,Isolation Forest,95.23,51.17,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Pune,,Ishwar Boase,W11711,,School Building Repair,Zilla Panchayat,5.88,,,,,,,,,Ongoing,21.772173731531005,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11711,21.77,LOW,No rule-based risk condition triggered,False,-0.0405,Normal,Isolation Forest,15.08,19.09,LOW,No significant risk indicator detected,LOW
,Nagpur,,Leena Butala,W10219,,Road Construction,State Housing Board,28.44,,,,,,,,,Ongoing,21.769144303516438,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10219,21.77,LOW,No rule-based risk condition triggered,False,-0.015,Normal,Isolation Forest,86.88,47.81,MEDIUM,No significant risk indicator detected,MEDIUM
,Nashik,,Leena Butala,W10763,,Drinking Water Supply,State Housing Board,16.95,,,,,,,,,Ongoing,21.76145908958711,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10763,21.76,LOW,No rule-based risk condition triggered,False,-0.0208,Normal,Isolation Forest,79.5,44.86,MEDIUM,No significant risk indicator detected,MEDIUM
,Belagavi,,Harrison Kapur,W12516,,Drainage System,State Housing Board,10.76,,,,,,,,,Completed,21.76025986836855,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12516,21.76,LOW,No rule-based risk condition triggered,False,-0.0435,Normal,Isolation Forest,8.62,16.5,LOW,No significant risk indicator detected,LOW
,Agra,,Yadavi Deshmukh,W11836,,Road Construction,Public Works Department,28.52,,,,,,,,,Ongoing,21.74206945960378,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11836,21.74,LOW,No rule-based risk condition triggered,False,-0.0269,Normal,Isolation Forest,65.57,39.27,LOW,No significant risk indicator detected,LOW
,Pune,,Varsha Morar,W11127,,Community Health Center,Zilla Panchayat,11.31,,,,,,,,,Ongoing,21.71916488091341,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11127,21.72,LOW,No rule-based risk condition triggered,False,-0.0282,Normal,Isolation Forest,60.85,37.37,LOW,No significant risk indicator detected,LOW
,Bengaluru Urban,,Christopher Kadakia,W12601,,Road Construction,State Housing Board,35.09,,,,,,,,,Completed,21.704788629485098,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12601,21.7,LOW,No rule-based risk condition triggered,True,0.0065,Anomaly,Isolation Forest,96.78,51.73,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Dharwad,,Varsha Morar,W12588,,Community Health Center,State Housing Board,42.239066070660776,,,,,,,,,Completed,21.69975916228931,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12588,21.7,LOW,No rule-based risk condition triggered,True,0.0066,Anomaly,Isolation Forest,96.83,51.75,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Pune,,Rayaan Mand,W10719,,Public Toilet Complex,Zilla Panchayat,5.28,,,,,,,,,Ongoing,21.69894260021296,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10719,21.7,LOW,No rule-based risk condition triggered,False,-0.0417,Normal,Isolation Forest,11.27,17.53,LOW,No significant risk indicator detected,LOW
,Agra,,Ishwar Boase,W12514,,Road Construction,State Housing Board,23.98,,,,,,,,,Completed,21.691082535183583,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12514,21.69,LOW,No rule-based risk condition triggered,False,-0.0156,Normal,Isolation Forest,86.37,47.56,MEDIUM,No significant risk indicator detected,MEDIUM
,Kolkata,,Yadavi Deshmukh,W11535,,Public Toilet Complex,District Rural Development Agency,2.58,,,,,,,,,Completed,21.672683147753965,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11535,21.67,LOW,No rule-based risk condition triggered,False,-0.0175,Normal,Isolation Forest,84.55,46.82,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Hemang Bava,W10916,,Public Toilet Complex,Public Works Department,6.77,,,,,,,,,Completed,21.64429536378667,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10916,21.64,LOW,No rule-based risk condition triggered,False,-0.0413,Normal,Isolation Forest,12.42,17.95,LOW,No significant risk indicator detected,LOW
,Chennai,,Yug Choudhry,W11075,,Drinking Water Supply,District Rural Development Agency,18.77,,,,,,,,,Ongoing,21.637837284375664,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11075,21.64,LOW,No rule-based risk condition triggered,False,-0.0191,Normal,Isolation Forest,82.2,45.86,MEDIUM,No significant risk indicator detected,MEDIUM
,Thane,,Christopher Kadakia,W11886,,Community Health Center,District Rural Development Agency,34.63,,,,,,,,,Completed,21.62884953986192,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11886,21.63,LOW,No rule-based risk condition triggered,False,-0.0215,Normal,Isolation Forest,77.87,44.13,MEDIUM,No significant risk indicator detected,MEDIUM
,Kolkata,,Yug Choudhry,W11261,,Public Toilet Complex,Municipal Corporation,2.27,,,,,,,,,Completed,21.62705452298165,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11261,21.63,LOW,No rule-based risk condition triggered,False,-0.0251,Normal,Isolation Forest,70.53,41.19,MEDIUM,No significant risk indicator detected,MEDIUM
,Bengaluru Urban,,Vrinda Biswas,W12026,,Street Lighting,State Housing Board,5.21,,,,,,,,,Completed,21.597641500264743,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12026,21.6,LOW,No rule-based risk condition triggered,False,-0.0336,Normal,Isolation Forest,38.32,28.29,LOW,No significant risk indicator detected,LOW
,Coimbatore,,Rayaan Mand,W12667,,Drinking Water Supply,State Housing Board,12.33,,,,,,,,,Ongoing,21.59624292961273,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12667,21.6,LOW,No rule-based risk condition triggered,False,-0.0326,Normal,Isolation Forest,42.97,30.15,LOW,No significant risk indicator detected,LOW
,Nashik,,Onveer Kata,W11025,,Road Construction,Public Works Department,29.03,,,,,,,,,Completed,21.59159055666799,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11025,21.59,LOW,No rule-based risk condition triggered,False,-0.0227,Normal,Isolation Forest,75.73,43.25,MEDIUM,No significant risk indicator detected,MEDIUM
,Lucknow,,Ronith Zachariah,W11091,,School Building Repair,State Housing Board,7.71,,,,,,,,,Completed,21.585614923920176,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11091,21.59,LOW,No rule-based risk condition triggered,False,-0.0496,Normal,Isolation Forest,3.23,14.25,LOW,No significant risk indicator detected,LOW
,Varanasi,,Harrison Kapur,W12806,,Community Health Center,Public Works Department,28.39,,,,,,,,,Ongoing,21.57496043,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12806,21.57,LOW,No rule-based risk condition triggered,False,-0.0248,Normal,Isolation Forest,71.5,41.54,MEDIUM,No significant risk indicator detected,MEDIUM
,Varanasi,,Tanish Iyer,W12698,,Road Construction,Public Works Department,37.02,,,,,,,,,Completed,21.571338815315222,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12698,21.57,LOW,No rule-based risk condition triggered,False,-0.0038,Normal,Isolation Forest,93.72,50.43,MEDIUM,No significant risk indicator detected,MEDIUM
,Salem,,Ishwar Boase,W10112,,Road Construction,Public Works Department,25.29,,,,,,,,,Ongoing,21.5662126465396,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10112,21.57,LOW,No rule-based risk condition triggered,False,-0.0321,Normal,Isolation Forest,45.2,31.02,LOW,No significant risk indicator detected,LOW
,Pune,,Vrinda Biswas,W10324,,School Building Repair,Zilla Panchayat,4.03,,,,,,,,,Ongoing,21.565846661618608,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10324,21.57,LOW,No rule-based risk condition triggered,False,-0.0383,Normal,Isolation Forest,21.42,21.51,LOW,No significant risk indicator detected,LOW
,Kanpur,,Oliver Sarma,W10498,,Street Lighting,District Rural Development Agency,1.08,,,,,,,,,Ongoing,21.55489543906679,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10498,21.55,LOW,No rule-based risk condition triggered,False,-0.0201,Normal,Isolation Forest,80.9,45.29,MEDIUM,No significant risk indicator detected,MEDIUM
,Nagpur,,Yug Choudhry,W11864,,Road Construction,District Rural Development Agency,34.78,,,,,,,,,Ongoing,21.554307538730804,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11864,21.55,LOW,No rule-based risk condition triggered,True,0.0141,Anomaly,Isolation Forest,98.2,52.21,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Darjeeling,,Tanish Iyer,W10049,,Road Construction,Public Works Department,33.64,,,,,,,,,Ongoing,21.55410929826527,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10049,21.55,LOW,No rule-based risk condition triggered,False,-0.0203,Normal,Isolation Forest,80.5,45.13,MEDIUM,No significant risk indicator detected,MEDIUM
,Darjeeling,,Harrison Kapur,W10804,,Community Health Center,Municipal Corporation,45.71,,,,,,,,,Ongoing,21.537034930477475,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10804,21.54,LOW,No rule-based risk condition triggered,True,0.0306,Anomaly,Isolation Forest,99.77,52.83,MEDIUM,ML: Isolation Forest identified unusual project characteristics,MEDIUM
,Lucknow,,Oliver Sarma,W10751,,Community Health Center,District Rural Development Agency,27.52,,,,,,,,,Completed,21.535159104597717,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10751,21.54,LOW,No rule-based risk condition triggered,False,-0.0317,Normal,Isolation Forest,47.08,31.76,LOW,No significant risk indicator detected,LOW
,Thane,,Owen Bala,W12981,,Road Construction,District Rural Development Agency,23.52,,,,,,,,,Completed,21.524623553783268,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12981,21.52,LOW,No rule-based risk condition triggered,False,-0.0097,Normal,Isolation Forest,91.2,49.39,MEDIUM,No significant risk indicator detected,MEDIUM
,Pune,,Sanya Swamy,W11949,,Drinking Water Supply,Zilla Panchayat,13.36,,,,,,,,,Completed,21.507157168571204,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11949,21.51,LOW,No rule-based risk condition triggered,False,-0.0445,Normal,Isolation Forest,7.6,15.95,LOW,No significant risk indicator detected,LOW
,Darjeeling,,Jagat Mangat,W11530,,Community Health Center,Zilla Panchayat,31.93,,,,,,,,,Ongoing,21.500408953766154,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11530,21.5,LOW,No rule-based risk condition triggered,False,-0.0147,Normal,Isolation Forest,87.18,47.77,MEDIUM,No significant risk indicator detected,MEDIUM
,Kanpur,,Mugdha Varty,W12378,,Road Construction,State Housing Board,23.58,,,,,,,,,Ongoing,21.485803809915936,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12378,21.49,LOW,No rule-based risk condition triggered,False,-0.022,Normal,Isolation Forest,76.8,43.61,MEDIUM,No significant risk indicator detected,MEDIUM
