work_id,mp_name,district,implementing_agency,work_category,final_risk_score,risk_level,inspection_priority,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,explanation,why_flagged,recommended_action
W11795,Ria Ratta,Nashik,District Rural Development Agency,Community Health Center,7.77,LOW,NORMAL,19.43,0.0,0.0,0.0,19.43,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10355,Ronith Zachariah,Thane,Public Works Department,Road Construction,7.77,LOW,NORMAL,19.43,0.0,0.0,0.0,19.43,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11375,Bachittar Choudhry,Asansol,District Rural Development Agency,Community Health Center,7.77,LOW,NORMAL,19.43,0.0,0.0,0.0,19.43,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10838,Pallavi Krish,Lucknow,State Housing Board,Street Lighting,7.76,LOW,NORMAL,19.4,0.0,0.0,0.0,19.4,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12157,Bachittar Choudhry,Belagavi,Zilla Panchayat,Public Toilet Complex,7.76,LOW,NORMAL,19.39,0.0,0.0,0.0,19.39,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12787,Yamini Chand,Dharwad,District Rural Development Agency,Road Construction,7.76,LOW,NORMAL,19.41,0.0,0.0,0.0,19.41,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10198,Owen Bansal,Nashik,Municipal Corporation,Street Lighting,7.76,LOW,NORMAL,19.4,0.0,0.0,0.0,19.4,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10627,Krishna Pant,Darjeeling,Public Works Department,Street Lighting,7.76,LOW,NORMAL,19.4,0.0,0.0,0.0,19.4,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10329,Rayaan Mand,Bengaluru Urban,Public Works Department,Drainage System,7.75,LOW,NORMAL,19.38,0.0,0.0,0.0,19.38,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11729,Bachittar Choudhry,Varanasi,District Rural Development Agency,Public Toilet Complex,7.74,LOW,NORMAL,19.35,0.0,0.0,0.0,19.35,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11527,Jagat Mangat,Pune,State Housing Board,Community Health Center,7.74,LOW,NORMAL,19.36,0.0,0.0,0.0,19.36,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12747,Azaan Gupta,Asansol,Municipal Corporation,Community Health Center,7.74,LOW,NORMAL,19.34,0.0,0.0,0.0,19.34,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12080,Victor Venkataraman,Agra,Public Works Department,Community Health Center,7.73,LOW,NORMAL,19.32,0.0,0.0,0.0,19.32,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11193,Christopher Kadakia,Thane,State Housing Board,Public Toilet Complex,7.73,LOW,NORMAL,19.32,0.0,0.0,0.0,19.32,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12755,Ronith Zachariah,Mysuru,Public Works Department,Road Construction,7.72,LOW,NORMAL,19.3,0.0,0.0,0.0,19.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10997,Owen Bansal,Agra,Public Works Department,School Building Repair,7.72,LOW,NORMAL,19.3,0.0,0.0,0.0,19.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12840,Varsha Morar,Howrah,Municipal Corporation,Road Construction,7.72,LOW,NORMAL,19.3,0.0,0.0,0.0,19.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12081,Advaith Gole,Nashik,Municipal Corporation,Drinking Water Supply,7.72,LOW,NORMAL,19.3,0.0,0.0,0.0,19.3,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12137,Tanish Iyer,Kolkata,Municipal Corporation,Road Construction,7.71,LOW,NORMAL,19.27,0.0,0.0,0.0,19.27,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12085,Sanya Swamy,Nagpur,District Rural Development Agency,Drinking Water Supply,7.71,LOW,NORMAL,19.27,0.0,0.0,0.0,19.27,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10138,Varsha Morar,Madurai,State Housing Board,Drainage System,7.71,LOW,NORMAL,19.27,0.0,0.0,0.0,19.27,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12610,Ishwar Boase,Nashik,Zilla Panchayat,Street Lighting,7.7,LOW,NORMAL,19.24,0.0,0.0,0.0,19.24,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10644,Rayaan Mand,Salem,Public Works Department,School Building Repair,7.69,LOW,NORMAL,19.23,0.0,0.0,0.0,19.23,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11240,Gabriel Thaman,Salem,Municipal Corporation,Road Construction,7.69,LOW,NORMAL,19.21,0.0,0.0,0.0,19.21,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12391,Mugdha Varty,Dharwad,Zilla Panchayat,Drainage System,7.68,LOW,NORMAL,19.2,0.0,0.0,0.0,19.2,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12417,Pallavi Krish,Darjeeling,Zilla Panchayat,Drainage System,7.68,LOW,NORMAL,19.19,0.0,0.0,0.0,19.19,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11833,Tanish Iyer,Chennai,District Rural Development Agency,Drinking Water Supply,7.68,LOW,NORMAL,19.2,0.0,0.0,0.0,19.2,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11213,Vanya Suresh,Bengaluru Urban,Public Works Department,School Building Repair,7.67,LOW,NORMAL,19.18,0.0,0.0,0.0,19.18,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10937,Yutika Rana,Kanpur,Municipal Corporation,Street Lighting,7.66,LOW,NORMAL,19.15,0.0,0.0,0.0,19.15,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10317,Victor Venkataraman,Chennai,State Housing Board,School Building Repair,7.66,LOW,NORMAL,19.15,0.0,0.0,0.0,19.15,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10630,Eesha Memon,Dharwad,Zilla Panchayat,Road Construction,7.65,LOW,NORMAL,19.12,0.0,0.0,0.0,19.12,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11095,Hemang Bava,Chennai,State Housing Board,Street Lighting,7.64,LOW,NORMAL,19.09,0.0,0.0,0.0,19.09,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11814,Ekansh Sami,Madurai,Municipal Corporation,Community Health Center,7.64,LOW,NORMAL,19.11,0.0,0.0,0.0,19.11,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12527,Vanya Suresh,Pune,State Housing Board,Community Health Center,7.63,LOW,NORMAL,19.08,0.0,0.0,0.0,19.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11358,Deepa Gala,Madurai,Public Works Department,Community Health Center,7.63,LOW,NORMAL,19.08,0.0,0.0,0.0,19.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12058,Rayaan Mand,Chennai,District Rural Development Agency,School Building Repair,7.63,LOW,NORMAL,19.08,0.0,0.0,0.0,19.08,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11467,Sanya Swamy,Kolkata,Public Works Department,Road Construction,7.62,LOW,NORMAL,19.05,0.0,0.0,0.0,19.05,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12546,Tanish Iyer,Pune,Zilla Panchayat,Public Toilet Complex,7.62,LOW,NORMAL,19.06,0.0,0.0,0.0,19.06,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10988,Advaith Gole,Coimbatore,State Housing Board,Public Toilet Complex,7.61,LOW,NORMAL,19.02,0.0,0.0,0.0,19.02,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11632,Jagat Mangat,Thane,Public Works Department,Road Construction,7.61,LOW,NORMAL,19.03,0.0,0.0,0.0,19.03,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12279,Triya Khatri,Mysuru,District Rural Development Agency,Street Lighting,7.61,LOW,NORMAL,19.02,0.0,0.0,0.0,19.02,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11371,Ishwar Boase,Nagpur,Public Works Department,Road Construction,7.6,LOW,NORMAL,19.01,0.0,0.0,0.0,19.01,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11619,Advaith Gole,Dharwad,Municipal Corporation,Public Toilet Complex,7.6,LOW,NORMAL,19.0,0.0,0.0,0.0,19.0,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11683,Ria Ratta,Nashik,Municipal Corporation,Road Construction,7.59,LOW,NORMAL,18.96,0.0,0.0,0.0,18.96,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12807,Nicholas Gour,Bengaluru Urban,Zilla Panchayat,Community Health Center,7.59,LOW,NORMAL,18.96,0.0,0.0,0.0,18.96,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12072,Advaith Gole,Salem,Municipal Corporation,Public Toilet Complex,7.58,LOW,NORMAL,18.96,0.0,0.0,0.0,18.96,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10773,Christopher Kadakia,Asansol,Zilla Panchayat,School Building Repair,7.58,LOW,NORMAL,18.96,0.0,0.0,0.0,18.96,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11808,Krishna Pant,Bengaluru Urban,District Rural Development Agency,Drinking Water Supply,7.57,LOW,NORMAL,18.92,0.0,0.0,0.0,18.92,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11921,Lucky Prashad,Mysuru,Zilla Panchayat,Road Construction,7.57,LOW,NORMAL,18.93,0.0,0.0,0.0,18.93,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10294,Christopher Kadakia,Nagpur,Public Works Department,Community Health Center,7.56,LOW,NORMAL,18.89,0.0,0.0,0.0,18.89,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12631,Owen Bansal,Nagpur,Zilla Panchayat,Community Health Center,7.56,LOW,NORMAL,18.9,0.0,0.0,0.0,18.9,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12456,Varsha Morar,Darjeeling,Public Works Department,Road Construction,7.56,LOW,NORMAL,18.9,0.0,0.0,0.0,18.9,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11321,Eesha Memon,Lucknow,District Rural Development Agency,Road Construction,7.55,LOW,NORMAL,18.87,0.0,0.0,0.0,18.87,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10641,Pallavi Krish,Kanpur,Municipal Corporation,Drainage System,7.55,LOW,NORMAL,18.87,0.0,0.0,0.0,18.87,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11598,Harrison Kapur,Bengaluru Urban,District Rural Development Agency,Drainage System,7.55,LOW,NORMAL,18.87,0.0,0.0,0.0,18.87,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12110,Advaith Gole,Agra,District Rural Development Agency,School Building Repair,7.54,LOW,NORMAL,18.86,0.0,0.0,0.0,18.86,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11966,Owen Bansal,Thane,State Housing Board,Street Lighting,7.54,LOW,NORMAL,18.84,0.0,0.0,0.0,18.84,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10226,Meera Banerjee,Agra,Zilla Panchayat,Street Lighting,7.54,LOW,NORMAL,18.84,0.0,0.0,0.0,18.84,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10181,Jagat Mangat,Salem,Municipal Corporation,Road Construction,7.53,LOW,NORMAL,18.83,0.0,0.0,0.0,18.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12967,Yutika Rana,Agra,Municipal Corporation,Road Construction,7.53,LOW,NORMAL,18.83,0.0,0.0,0.0,18.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12141,Odika Naik,Madurai,Zilla Panchayat,Public Toilet Complex,7.52,LOW,NORMAL,18.8,0.0,0.0,0.0,18.8,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11868,Deepa Gala,Howrah,Zilla Panchayat,Road Construction,7.52,LOW,NORMAL,18.79,0.0,0.0,0.0,18.79,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10418,Vrinda Biswas,Agra,Zilla Panchayat,Community Health Center,7.51,LOW,NORMAL,18.77,0.0,0.0,0.0,18.77,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12541,Vanya Suresh,Darjeeling,Zilla Panchayat,Street Lighting,7.51,LOW,NORMAL,18.78,0.0,0.0,0.0,18.78,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11981,Tanish Iyer,Kolkata,District Rural Development Agency,Community Health Center,7.51,LOW,NORMAL,18.78,0.0,0.0,0.0,18.78,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12460,Owen Bansal,Asansol,State Housing Board,Drinking Water Supply,7.51,LOW,NORMAL,18.77,0.0,0.0,0.0,18.77,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12835,Lucky Prashad,Madurai,Zilla Panchayat,Community Health Center,7.51,LOW,NORMAL,18.77,0.0,0.0,0.0,18.77,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11066,Bachittar Choudhry,Thane,Zilla Panchayat,Road Construction,7.49,LOW,NORMAL,18.74,0.0,0.0,0.0,18.74,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10444,Yug Choudhry,Kanpur,Public Works Department,Public Toilet Complex,7.49,LOW,NORMAL,18.73,0.0,0.0,0.0,18.73,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12383,Mugdha Varty,Howrah,Zilla Panchayat,School Building Repair,7.48,LOW,NORMAL,18.69,0.0,0.0,0.0,18.69,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12357,Yug Choudhry,Mysuru,District Rural Development Agency,Road Construction,7.48,LOW,NORMAL,18.71,0.0,0.0,0.0,18.71,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11494,Gabriel Thaman,Bengaluru Urban,Municipal Corporation,Street Lighting,7.48,LOW,NORMAL,18.71,0.0,0.0,0.0,18.71,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11298,Advaith Gole,Salem,Public Works Department,Drainage System,7.48,LOW,NORMAL,18.7,0.0,0.0,0.0,18.7,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10995,Mugdha Varty,Belagavi,Public Works Department,Road Construction,7.48,LOW,NORMAL,18.69,0.0,0.0,0.0,18.69,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10258,Jagat Mangat,Pune,Zilla Panchayat,Road Construction,7.47,LOW,NORMAL,18.67,0.0,0.0,0.0,18.67,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10710,Onveer Kata,Lucknow,Public Works Department,Road Construction,7.47,LOW,NORMAL,18.68,0.0,0.0,0.0,18.68,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10553,Hemang Bava,Darjeeling,State Housing Board,Road Construction,7.47,LOW,NORMAL,18.68,0.0,0.0,0.0,18.68,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11287,Leena Butala,Kanpur,District Rural Development Agency,Street Lighting,7.46,LOW,NORMAL,18.65,0.0,0.0,0.0,18.65,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11446,Varsha Morar,Lucknow,Public Works Department,Drainage System,7.46,LOW,NORMAL,18.66,0.0,0.0,0.0,18.66,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11605,Advaith Gole,Nagpur,District Rural Development Agency,Public Toilet Complex,7.45,LOW,NORMAL,18.62,0.0,0.0,0.0,18.62,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12562,Deepa Gala,Kolkata,Public Works Department,Drainage System,7.45,LOW,NORMAL,18.62,0.0,0.0,0.0,18.62,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10187,Vanya Suresh,Thane,Municipal Corporation,Road Construction,7.44,LOW,NORMAL,18.6,0.0,0.0,0.0,18.6,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10828,Azaan Gupta,Nagpur,Zilla Panchayat,Public Toilet Complex,7.44,LOW,NORMAL,18.61,0.0,0.0,0.0,18.61,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12201,Ronith Zachariah,Agra,District Rural Development Agency,Drinking Water Supply,7.44,LOW,NORMAL,18.59,0.0,0.0,0.0,18.59,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12864,Yutika Rana,Belagavi,State Housing Board,Community Health Center,7.43,LOW,NORMAL,18.58,0.0,0.0,0.0,18.58,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11008,Leena Butala,Bengaluru Urban,State Housing Board,Road Construction,7.43,LOW,NORMAL,18.57,0.0,0.0,0.0,18.57,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12800,Pallavi Krish,Pune,State Housing Board,Public Toilet Complex,7.43,LOW,NORMAL,18.59,0.0,0.0,0.0,18.59,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11933,Advaith Gole,Thane,Municipal Corporation,Road Construction,7.42,LOW,NORMAL,18.55,0.0,0.0,0.0,18.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12325,Tanish Iyer,Salem,State Housing Board,Road Construction,7.42,LOW,NORMAL,18.55,0.0,0.0,0.0,18.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11134,Vrinda Biswas,Mysuru,State Housing Board,Public Toilet Complex,7.42,LOW,NORMAL,18.55,0.0,0.0,0.0,18.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10603,Christopher Kadakia,Mysuru,State Housing Board,Street Lighting,7.42,LOW,NORMAL,18.56,0.0,0.0,0.0,18.56,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11717,Azaan Gupta,Darjeeling,State Housing Board,Community Health Center,7.42,LOW,NORMAL,18.55,0.0,0.0,0.0,18.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11797,Jagat Mangat,Kanpur,Municipal Corporation,Drinking Water Supply,7.42,LOW,NORMAL,18.54,0.0,0.0,0.0,18.54,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10167,Meera Banerjee,Dharwad,Zilla Panchayat,Street Lighting,7.42,LOW,NORMAL,18.54,0.0,0.0,0.0,18.54,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W10025,Yug Choudhry,Mysuru,Zilla Panchayat,Community Health Center,7.42,LOW,NORMAL,18.55,0.0,0.0,0.0,18.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12209,Jagat Mangat,Kolkata,State Housing Board,School Building Repair,7.41,LOW,NORMAL,18.53,0.0,0.0,0.0,18.53,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W11882,Triya Khatri,Chennai,Public Works Department,Road Construction,7.41,LOW,NORMAL,18.52,0.0,0.0,0.0,18.52,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12946,Owen Bala,Kanpur,Municipal Corporation,Street Lighting,7.41,LOW,NORMAL,18.52,0.0,0.0,0.0,18.52,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
W12278,Varsha Morar,Darjeeling,Municipal Corporation,Public Toilet Complex,7.4,LOW,NORMAL,18.51,0.0,0.0,0.0,18.51,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,No major anomaly was identified by the current detection layers.,No immediate action required. Continue routine monitoring.
